state,action,supervisor_action
ball not in vision,turn+40,turn+40
ball not in vision,turn+40,turn+40
ball not in vision,turn+40,turn+40
ball not in vision,turn+40,turn+40
ball not in vision,turn+40,turn+40
ball not in vision,turn+40,turn+40
ball not in vision,turn+40,turn+40
ball not in vision,turn+40,turn+40
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,turn_ball,turn_ball
ball in vision,turn_ball,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,dash,turn_ball
ball in vision,turn_ball,turn_ball
ball in vision,turn_ball,turn_ball
ball aligned,dash,dash
ball aligned,dash,dash
ball aligned,dash,dash
ball in vision,turn_ball,turn_ball
